treatment,conversion,active_days,gender,age,time_spent_in_app,used_discount,used_bogo,channel_Web,channel_phone,hours_listening,yandex_pay_balance
control,1,9.595673358164575,1,47,1,1,0,0,0,9.475462024846529,6467.820287121198
control,1,8.302477542816113,0,42,2,1,1,1,1,7.519968133770236,4745.527859203351
treatment1,1,24.063856637940873,0,29,3,0,1,0,1,4.960069679040931,1681.351938773131
control,1,13.149987675598997,0,47,0,1,0,0,0,9.519639563209415,6129.515879733866
treatment1,1,23.02539715839782,1,43,1,1,0,0,0,10.548983078107721,5362.848766633127
control,1,3.3271762679400805,0,46,1,1,1,0,1,9.95140240758391,6507.464764595665
control,1,4.287631894157725,0,43,0,1,1,0,0,10.489593550738931,5461.933636008171
treatment1,0,24.225924584767395,0,45,1,1,0,0,0,6.707160184257738,4674.468741925941
treatment1,1,24.233724604800315,1,43,1,1,0,1,0,11.27378716806341,5755.458103784013
control,0,6.832253053429195,1,47,3,0,1,0,0,8.908761158314345,4766.165000511497
treatment1,1,21.38615178104106,0,29,2,0,0,1,0,8.86942375368642,2842.8397858261524
control,0,7.975567083346867,1,37,0,1,1,1,1,8.558099219926753,5102.461016400137
treatment1,0,28.6198929149331,1,37,0,0,0,1,1,11.533875328280988,5408.428236168787
control,0,10.702896826155424,1,28,2,0,0,0,0,9.733227848408383,4443.615936465732
control,0,6.755462166154581,0,49,3,1,1,0,0,9.448254582561443,5038.92634367359
control,1,7.504750572277433,1,41,2,1,1,0,1,9.112905293659114,5310.0947756633905
control,0,5.624539834041737,1,40,1,1,0,1,1,6.714596872596807,5103.235208398538
control,0,6.59634158024308,0,30,0,1,0,0,0,8.677009705961643,5257.39176061226
control,1,9.753668882195168,1,43,0,1,1,0,1,7.417346303693759,4513.208329912646
treatment1,1,18.49408208213825,1,37,1,0,0,0,1,10.508400021171349,5057.559669384657
control,0,13.89470321477861,1,40,2,0,0,0,0,8.756021750274952,3788.1935568219515
treatment1,1,24.849782429679184,0,45,0,1,0,0,0,10.96165769623624,5526.1490410272045
control,0,8.723069256624836,1,47,2,0,0,0,0,9.803353795423813,3639.900237305196
treatment1,1,21.20069540761777,0,36,1,0,1,0,0,5.8187335691065485,3257.130549587608
control,1,4.085378034286152,1,43,1,1,1,0,0,14.18071246272271,7211.305373878764
treatment1,0,16.58056716438078,0,36,1,1,0,0,1,5.881934495719844,4423.94657258797
control,0,12.039421819093217,0,31,1,0,0,0,0,13.249861455274644,4997.236118339385
control,0,4.117593568272262,0,45,1,1,1,1,0,11.589605801685835,6054.625190350855
control,0,8.916637313934775,0,35,0,0,1,0,1,12.928096708453008,5341.978482762171
treatment1,1,24.67085612991405,0,45,1,1,0,0,0,10.396594341610417,6137.353411462283
treatment1,0,15.230351640757394,1,40,1,0,0,1,0,9.35488764825792,4774.839402412632
control,1,10.0406109906864,1,49,0,1,0,1,0,9.06162484713658,6772.200630622184
control,0,10.537450811382062,0,34,1,1,0,0,0,8.269397370310186,4719.245098000476
treatment1,0,22.88345880969929,0,48,2,0,0,0,0,7.138500680443583,4001.524340714562
control,1,14.219479499317226,0,34,1,0,1,0,0,12.582141409286097,5049.120113558579
treatment1,0,22.479320634076853,1,40,3,1,1,0,0,7.9784470990688945,4773.499306234571
treatment1,0,24.11744522119692,0,34,0,1,0,0,1,9.39386958582125,6332.191286804089
control,0,6.083201220775921,1,44,3,1,1,0,1,8.648742267863621,5494.158585035984
treatment1,0,26.789996266043477,1,57,1,1,0,0,0,12.222703261638587,6042.560994229924
control,0,8.024361163011026,1,52,1,0,0,1,0,10.074165623991087,4998.5996092384885
control,1,6.943095003578166,0,39,1,1,1,0,1,10.758413035677837,6094.53693892097
control,1,-0.020348065116281067,1,46,0,1,1,0,1,6.740005910796297,5439.753291720796
control,0,8.301254539365532,0,40,0,0,1,0,0,8.66046785728237,3684.077187399867
treatment1,0,23.515338040483215,0,45,1,0,0,0,0,12.178125853883712,5410.342168047191
control,0,11.898095509832096,1,24,1,1,1,0,1,10.573977675482686,5752.089720178744
treatment1,0,24.145777355507338,0,41,0,1,0,0,0,13.727652705564084,6624.071079114229
treatment1,1,26.207454627498194,1,40,0,0,1,0,0,11.312776690366553,4747.394031543942
control,0,10.021557740380828,1,41,0,1,1,0,1,10.843712863902832,5518.462309043911
treatment1,0,17.972868001330962,0,40,1,0,0,0,0,12.317063360353739,5589.233936015648
control,0,8.224532219587363,1,32,0,0,0,1,0,5.5665723719255205,3071.5486142383834
treatment1,1,20.30412821845729,1,46,3,1,0,0,0,17.518032498533845,8380.233516186438
control,1,10.195728569492331,1,45,0,1,0,1,0,8.082077397412899,5366.827693037895
treatment1,1,30.09285073543539,0,39,1,1,1,0,0,9.631022048842539,5514.191379810317
control,0,8.475508883077126,0,52,0,0,0,1,0,11.015118961798997,5281.434084988909
control,0,9.034991069353161,0,39,0,0,1,0,0,8.957667326978363,4014.19826207744
control,0,9.761415420464136,0,38,1,1,0,0,0,10.540777879691372,5336.430676133327
treatment1,1,23.16444080900413,0,32,2,0,0,0,0,9.281725088026848,3557.3259881519193
treatment1,1,28.055608413972422,1,33,3,0,1,0,1,10.217467340169428,4191.735400437708
treatment1,0,25.926278895319854,0,54,0,1,0,0,0,14.35800100177971,7295.702843406246
treatment1,1,23.208442381137996,0,40,2,1,0,0,0,10.106308258739316,5562.731343084813
treatment1,0,21.65486490916902,0,46,1,1,0,1,0,7.042413188061307,4383.737442586198
control,0,8.210054498495472,1,37,1,1,1,0,0,9.957401510738412,6483.075967164943
control,0,7.551674576313343,0,44,2,1,0,0,0,8.26092139924011,6061.758415005683
control,1,9.879510743396,1,46,2,1,0,1,0,11.147294592702927,6489.2399224015535
treatment1,0,23.043019008190907,0,43,1,1,0,0,1,9.830454563194195,5334.335965052593
treatment1,1,27.777370879631384,1,33,2,0,0,0,0,9.367923277688933,3494.7575621310543
treatment1,0,14.435589203388753,0,32,1,1,1,1,1,12.723036917104157,6062.5177762638905
treatment1,0,21.073935029063502,0,45,1,0,1,0,1,11.548101167347308,4128.929054836276
control,1,3.9082617957707972,1,47,6,1,0,0,0,9.435003072671462,6791.90103493666
treatment1,0,27.82117533905985,1,52,1,1,0,0,1,7.2607765114581255,5263.182391179936
control,0,6.424581470479188,0,41,1,1,1,0,0,10.213531116451744,5999.489969312387
treatment1,1,19.255360131870937,0,45,0,1,1,1,0,10.472154991245098,6118.827554649395
treatment1,0,19.702278975379148,1,38,2,1,1,1,1,10.018427878740821,5127.468107889611
control,0,9.366519926097574,0,40,0,1,0,0,0,9.856347911817174,5193.896714259276
control,1,7.841475822038918,1,36,0,1,1,1,0,11.433449112481227,5778.591758663544
treatment1,1,29.85748774994348,1,44,0,1,0,0,0,14.553692547980585,6500.70394801824
treatment1,1,21.52560851488393,0,47,0,1,0,0,1,8.808342521339494,6089.990331916253
control,1,5.458696876710564,0,52,0,1,0,1,1,11.027614742953,7582.4986239033715
treatment1,1,19.809229462003753,0,37,1,0,0,0,1,9.868756503143135,4484.304394343925
treatment1,0,20.396511704022927,0,47,2,0,0,1,0,10.312596673123831,4854.993014212734
control,0,5.210170787120944,1,38,2,1,0,0,0,9.65271266312234,6401.531474285742
control,1,5.210156328555157,0,42,0,0,1,1,0,10.618810287034332,5061.682275798649
treatment1,0,15.71220949515849,0,44,2,1,1,0,0,8.598603173958244,5200.333828159643
control,0,7.538751585331595,0,47,0,0,0,0,0,11.673295983352252,5386.904021015023
treatment1,1,21.031193017162778,1,49,1,1,0,1,0,9.989114272095682,7779.4843911035905
control,1,15.199168719385417,0,41,0,1,0,0,0,8.84347626393012,4939.299627515639
control,0,6.732766624749082,0,37,2,0,1,1,0,9.9317767495451,4953.794519868651
control,1,14.701601947659036,1,47,0,1,0,0,0,7.843023652610354,5913.968204142215
treatment1,1,18.786424488748004,0,38,0,0,0,0,0,13.017395114204957,5234.57841501027
control,0,8.887821276531884,0,39,0,0,0,1,1,9.200097982047522,4342.059081605516
treatment1,0,23.64966194689449,0,44,0,1,0,1,1,14.853738012361504,6587.24468735941
treatment1,0,24.08016809888188,0,45,2,0,1,0,0,4.467230421496787,2698.263487293303
control,0,5.237380859398402,1,37,2,1,0,0,0,18.6986013249996,8004.4026239077
control,1,6.135616910002244,1,43,0,0,0,1,0,6.348787013393114,4000.6802162204617
control,1,9.986541516714599,0,39,1,1,1,0,0,8.797763314386724,4954.897222392403
control,0,6.795934109108195,0,44,1,1,0,0,0,10.444366388608849,5631.684632741222
treatment1,0,25.633331780213815,1,47,1,1,0,1,0,13.2559216715634,6265.575549535209
control,1,9.41235644025936,1,45,0,1,0,0,0,9.645205860748119,5320.419032196913
treatment1,0,21.98644819978656,0,50,2,1,0,1,0,9.560508819342285,5475.190378966012
control,0,7.0328516313600105,0,36,2,1,0,0,1,8.305010414645675,4963.68117332631
control,1,8.913538125416247,1,44,2,0,1,0,0,10.545433400508944,5017.339380001585
treatment1,1,20.356739377007635,0,41,2,0,1,0,0,9.917502842627398,4797.650367594143
treatment1,0,23.127322732119445,0,42,0,0,0,1,0,7.852246221816882,4338.875051384106
treatment1,1,19.617850474996903,0,38,1,0,0,0,0,9.54719455131983,3915.188567101324
control,1,6.634642596610052,0,38,0,0,0,1,0,14.228715097834122,5028.113344080515
treatment1,1,27.34483676638542,0,34,1,0,0,0,0,6.4332811278680975,2110.555366157421
control,0,6.213577848703007,1,28,2,1,0,1,0,9.9343003869861,5466.168452745466
treatment1,0,20.421060444248383,1,38,1,0,0,0,1,9.838439079879114,4515.568216702954
control,1,9.37684677502687,0,33,0,0,0,0,0,9.807790689611519,4190.57833108621
treatment1,0,22.115699568270482,0,40,1,0,1,0,0,8.517890833867028,4571.930614420704
treatment1,1,20.54245065461595,1,38,0,0,1,1,0,9.617669867576613,3761.9529700206504
control,0,8.668061503690357,0,55,5,0,0,0,0,6.425181768861679,3757.1467993577776
treatment1,0,15.203705127945508,1,46,0,1,0,0,0,10.701047445624019,5589.079928449916
treatment1,0,31.961605654432006,0,44,2,0,1,0,0,7.4759693754224,4069.139522037689
treatment1,1,24.7380823539691,1,38,1,0,0,0,0,10.470357962983112,5025.831799037362
control,1,10.128025694538524,1,43,0,0,0,0,1,15.329473715329522,6394.8725546100895
control,1,8.783713846943554,0,40,1,1,0,1,1,9.742082077167586,5439.800619840222
control,0,8.712582569478652,1,47,0,1,0,0,0,10.393770173747809,5424.7231914561
treatment1,0,22.61069756210116,1,51,2,0,0,0,0,12.94302141031483,4694.36288518094
treatment1,1,24.671210987564173,0,36,1,0,0,0,0,10.229098908576608,4365.924379291207
control,0,4.884254723278335,1,38,3,0,1,1,1,11.64268771260777,5290.9773242738565
treatment1,1,21.640010944372698,1,44,1,0,0,1,0,8.887869586158246,4754.920122469104
treatment1,1,30.999183401332882,0,29,0,0,0,0,1,10.78250919141263,2970.644259276268
treatment1,1,19.620764125547584,1,38,2,0,0,1,0,14.102389464234285,5487.4406367476895
treatment1,1,24.302745349504388,0,46,0,1,0,0,0,9.876115934917571,6332.9024807968435
control,1,7.55654948594651,1,43,2,1,0,0,0,8.4184503332756,5814.863062361777
treatment1,0,22.140463003647003,0,47,2,0,0,0,1,8.430204072855515,4567.734083305874
control,0,12.89236521234749,1,45,0,0,0,0,0,8.954175522391647,4750.141510937104
control,0,4.594775438918815,0,28,2,1,0,1,1,10.717917943630518,5296.042719818027
control,0,11.445686748917998,1,42,2,1,0,0,1,10.183361759635565,5807.043572041371
treatment1,0,22.926292932910922,1,26,0,0,1,0,1,11.342333711175527,4872.720280991703
control,0,13.096584496587008,1,36,2,0,0,1,0,7.692991310839899,4474.788194980129
control,1,4.402645888370767,1,30,0,0,1,1,0,8.305972581509142,2068.752141111975
control,0,10.094503536584378,0,49,3,1,0,0,0,6.0422736633543135,4423.5259270935385
treatment1,1,26.503509073941185,1,50,1,1,1,0,1,9.413200391331632,6050.165590768318
treatment1,1,29.54232095968007,1,44,1,0,1,0,1,11.321565736998327,5321.404806874674
treatment1,1,18.68560226139359,0,43,3,1,0,1,0,8.72928792308168,5020.084915976745
control,0,0.663624356100128,1,50,0,0,1,1,0,9.526157845405276,4398.175933083407
control,1,10.503964020404053,1,46,0,1,0,1,0,8.418904782050378,5062.977354924188
treatment1,0,19.92688310122259,0,44,1,0,0,0,0,7.943737286808416,4032.689772447932
treatment1,1,21.557278408985955,0,37,2,0,1,1,0,9.647794887848365,4970.883025412565
treatment1,0,24.849961107624512,1,33,2,0,0,0,0,14.396315627509429,6019.298647952019
control,0,10.956068244772664,0,47,0,1,0,0,0,8.111084275952589,5182.7291631423805
control,0,10.411316304099755,1,34,2,0,1,0,1,12.099272057995112,5171.522219193258
control,0,4.723883940841718,1,35,0,0,0,1,0,12.413123748090047,4326.410569013199
treatment1,0,33.622896103636016,0,41,2,0,1,1,0,7.347555665191306,4330.426673372521
control,0,6.56562386249128,1,24,0,0,0,1,0,8.83293441471841,3202.1299841754717
treatment1,1,24.1433848219405,1,24,1,0,0,0,0,12.032667441359173,2050.916931227533
treatment1,0,21.798109837052102,1,41,1,1,0,0,0,9.0156988691993,6104.392166828757
control,1,8.76404594933078,0,42,2,1,0,1,0,9.347963028085061,5871.635064839399
treatment1,0,20.92852109828307,1,44,2,1,0,0,1,12.079632097865696,5890.299260277913
control,0,7.864419902462508,0,28,0,0,0,0,0,9.325475316949749,4128.569987349878
treatment1,0,16.370675303122752,0,52,0,1,0,1,1,11.47623087102162,6281.448533440609
treatment1,1,21.174410253855786,0,37,1,0,0,0,1,6.949472295462927,2683.2084648151595
control,0,2.7004812367830624,0,50,1,1,0,1,0,11.001506250973703,5520.974441137648
treatment1,0,19.959199841709236,1,40,1,1,1,0,1,7.889914501041647,4806.455559123907
control,1,12.296005156547595,1,28,1,0,1,0,1,12.041890503011894,3504.6547360316627
control,0,8.336394192057016,0,54,0,0,0,0,1,11.33358528814325,5145.202513728887
treatment1,1,24.930771376697777,1,42,1,1,0,0,0,11.612097921596607,6066.734109177684
control,1,11.834307502313866,1,31,1,0,0,0,0,10.003796840830407,2642.676185759962
control,0,7.083928687067583,0,37,1,0,0,0,0,10.321676030383585,4754.13438898238
control,1,7.15787923453684,1,49,2,1,0,0,1,7.232708963458467,6060.663219722104
treatment1,0,21.215259364254948,0,49,1,1,0,1,1,11.310364891055533,5634.313330933329
control,1,7.529480748300736,1,45,2,1,0,0,0,5.929275435512469,4684.696737693238
control,1,9.649772397374187,0,40,1,1,0,0,0,15.2633429931217,6809.204688682652
control,1,4.2457084191828365,0,45,0,1,0,0,0,9.213197576904262,5412.795020816517
control,1,10.154850800365377,0,28,2,0,1,0,1,10.504887055975303,3121.9164399187653
control,0,6.4504076869209825,0,31,0,0,0,0,1,9.903037778782346,4945.662553189656
treatment1,0,23.234985141688647,0,49,3,1,1,0,0,11.323741347773188,6182.526042563922
treatment1,1,21.732066857339603,0,48,5,1,1,0,0,8.55894919585533,6344.834547611964
control,0,14.869068856637643,0,43,1,1,1,1,1,8.260424957032136,5197.366968934768
control,0,3.992285294544061,0,49,0,1,1,1,1,7.18465469339804,4544.25988805065
treatment1,0,26.377323149935492,0,41,1,1,0,0,1,3.692670122425181,3921.7234582106853
control,0,7.078587561269113,1,41,0,1,0,0,0,7.349356478316583,4990.824123353164
treatment1,1,22.33450134060156,1,41,2,1,1,0,0,9.171137438826062,5028.056305839957
control,1,9.755569867146326,0,35,1,0,0,1,0,6.631808911852812,3435.641118865389
treatment1,0,20.428796085084304,0,42,0,1,0,0,1,7.760057371460843,5845.164218208282
control,1,10.047956406761553,0,50,1,1,0,1,0,14.072567043293311,8090.488111673664
control,0,8.442840550182076,0,28,1,1,1,1,0,6.877609409049131,4453.770236438072
treatment1,1,25.74276158670561,0,27,2,1,0,0,0,9.89560315299226,5228.2891328196865
treatment1,1,27.181164292044418,0,46,0,0,1,0,0,10.06228349439364,4560.80371739167
treatment1,0,26.173912619743007,1,47,0,0,1,1,1,9.111821184104706,4239.652150283217
treatment1,1,22.526104722959342,0,44,1,1,0,0,0,11.03681713272289,6690.54053085718
treatment1,1,28.1550681101764,1,38,1,0,0,0,1,5.3957920006096725,3694.0096649577254
treatment1,0,28.74841242487629,1,38,0,1,0,0,1,11.82533970131534,5698.316234227789
treatment1,1,18.266775897322375,0,40,0,0,1,0,1,9.369491731214485,4481.727998498237
treatment1,0,29.685693422521787,0,38,0,0,0,0,1,7.101747177085983,3712.966688873735
control,1,5.33053759551487,0,50,2,1,1,0,1,10.161859503981859,6477.96085739288
treatment1,0,29.24274754008678,1,41,0,0,0,0,0,7.359577083036269,3603.0538766465443
treatment1,1,29.923133633688163,0,53,0,1,0,0,0,10.940373796460143,7538.75503139568
treatment1,0,24.63977659308278,0,50,3,1,1,0,1,9.98829525796877,5275.456468789954
control,1,9.143512119862683,0,41,1,1,0,0,0,9.918362341893241,5323.240309541444
treatment1,0,24.34335775463114,0,43,2,0,1,0,0,9.88114929382355,4220.510910480715
control,0,6.158540099729829,0,40,2,1,0,1,0,8.232066023846762,4723.3567779161385
treatment1,0,19.742669168061095,0,43,2,0,0,0,0,7.259039499810543,3770.720842054523
treatment1,1,26.228180791591008,0,40,2,0,1,0,1,16.43967521568649,6436.949648070514
control,0,11.642207541493208,0,49,0,0,0,0,0,5.7555709903397805,3198.028905418983
treatment1,1,27.697275889829434,1,39,2,1,0,1,1,8.840929100214796,4894.689158637104
control,0,5.945044607303757,1,38,3,0,0,0,0,14.189621208959679,4866.419118942151
control,0,10.491970113392847,0,34,0,0,0,0,0,8.64197095424584,4135.177205572271
treatment1,1,23.221370375612725,1,55,0,1,0,1,0,10.546782629313807,5871.084894474903
treatment1,1,19.519586425561194,0,39,1,0,0,0,0,12.974358170440352,5471.598877675135
control,0,13.831273260926288,0,37,1,0,0,0,0,12.72223397582269,5744.531034041201
treatment1,1,23.218402999611484,0,47,0,1,0,1,0,7.763998146582268,6533.523009620359
control,0,10.535038987160913,1,40,0,1,0,1,1,9.804449918051215,5757.213491690087
control,1,10.458870206619853,0,49,1,1,1,0,0,9.130581540440266,5798.019862187076
treatment1,0,26.410712262406246,1,47,1,0,0,1,0,7.933040807737379,4206.398964144178
treatment1,1,29.171824705111742,0,44,0,1,0,1,1,10.944352243573123,5896.119521966827
treatment1,1,29.288155391346294,0,52,1,1,0,0,0,9.068271730581454,6418.341225288144
control,1,10.609970926482108,0,47,2,1,0,1,1,7.959193095801305,6083.925329567763
control,0,6.8957936161758955,1,34,1,0,0,0,0,7.60662655086143,2801.6325293691325
control,1,5.867676897459992,1,28,0,0,0,1,0,6.980691550714157,2013.107447296256
control,1,11.41772640016596,0,43,1,0,0,0,1,10.348742366500348,4852.228560369288
control,0,4.116578440482243,1,42,1,1,1,1,0,5.204077359507243,4478.016481959274
treatment1,1,27.773305360141865,0,35,0,0,0,0,1,9.31656513926053,3745.516754852439
control,0,5.5036669607320325,0,39,1,1,0,0,1,13.392156809838408,6394.770917002145
control,0,3.3752246484644264,1,33,1,1,0,0,0,9.366886605293661,5239.21444061636
control,0,10.273921769877429,1,47,0,1,0,0,1,9.935033514258514,5474.750328673513
treatment1,1,21.250151041545557,0,26,1,0,0,0,1,9.740989662656139,4138.176289527427
control,0,7.16236924648151,1,37,3,1,1,1,0,10.608776029132462,5567.258347533712
treatment1,1,22.037088799254462,1,38,0,1,0,1,0,10.084958018445981,5846.0993500730365
treatment1,0,26.330663296523287,1,35,0,0,0,1,0,11.382651749442283,5164.359464675377
control,0,10.841550895526789,0,31,2,1,0,1,0,9.425645916640388,5306.039974673908
treatment1,1,25.663377379948642,0,38,1,0,0,0,0,12.925595986428158,5466.047810658216
control,1,3.443555317058125,1,43,0,0,0,0,0,11.08405205328758,4947.538300121848
treatment1,1,19.946502298837746,1,43,0,0,0,0,1,14.405209868059046,5819.441567647745
control,0,7.854685049144491,0,36,1,0,0,0,1,7.699834495115275,4200.472813601662
control,0,8.43863336812591,1,37,2,1,0,0,0,10.041093731774001,5794.680034667996
control,1,3.6703848867095505,0,44,0,1,1,1,0,13.657909038000861,6759.532989046983
treatment1,1,24.51175003924799,1,41,0,0,1,1,0,10.616320466741584,5019.518842773813
treatment1,0,29.190182367880368,0,46,1,0,0,0,0,7.50193108427554,4110.644048821292
control,0,4.994336631000549,0,37,1,0,1,0,1,6.411229944538154,3018.1825407328283
control,1,9.519898620425261,0,31,2,0,0,1,0,11.1048600848765,3902.217759961846
treatment1,1,21.713246718314412,1,38,1,1,0,0,1,9.369255116091985,5268.15801138681
treatment1,0,28.92432816973409,1,36,0,1,1,0,0,7.182151631842149,5160.042133616481
control,1,7.793741335487587,0,39,0,0,1,1,1,10.043727642685678,4652.6065237713865
control,0,4.957166209253303,1,48,0,1,1,0,1,9.699007645988143,5539.478228105121
control,1,6.726290340810338,0,51,1,1,0,1,1,9.686324339586353,7117.936320623541
control,0,13.709024591819707,0,38,0,1,0,1,1,9.63913072794168,5410.250471735322
treatment1,0,18.677648805525948,1,32,1,1,0,0,0,8.821167795719091,5189.5025373204735
treatment1,0,20.870404796883406,1,37,1,1,1,0,0,9.235353118857702,4987.043470542135
treatment1,0,23.547616289152263,0,55,1,1,0,0,0,10.177957829202063,6998.075555857792
control,1,5.388471473913986,0,47,0,1,1,0,0,5.627073715901466,4867.862264943296
treatment1,1,14.784712071406569,1,40,1,1,1,0,0,10.245479517132525,5361.368325605215
treatment1,0,21.324470408423043,0,51,2,1,0,1,0,6.830561223847319,4675.933713653378
control,1,6.259060782686181,1,37,1,0,0,0,1,12.153223148893293,4945.882616068839
treatment1,1,16.801323707620195,1,26,0,0,1,0,0,5.615716236379678,769.3794059414159
treatment1,0,21.223065133127154,0,32,0,1,1,0,0,7.310715849977494,4928.873256077493
treatment1,1,25.632325972514593,1,42,1,1,0,0,1,14.096498704513802,6529.42194893983
control,0,9.947811989577067,1,39,0,0,0,0,0,10.317260279712858,3382.831465337291
treatment1,0,23.10108190782407,1,37,0,1,0,1,0,9.139989433520638,4990.803735853922
treatment1,1,21.68124759943082,0,40,0,0,0,0,0,13.239057733472508,4823.368837796131
treatment1,1,20.700278952130358,1,41,0,1,0,0,0,8.089623147583243,4812.189759615068
treatment1,0,13.151306031843944,0,45,0,1,0,0,0,8.557618696461985,4900.934032962847
control,0,5.593109394076565,0,39,1,1,0,0,0,8.53718429871908,5555.789771905575
control,0,7.43346693799264,0,46,1,1,0,0,1,9.08359756609145,4994.973740724067
control,0,10.091262960869356,0,24,1,1,1,0,1,7.1133687415996905,5144.913051885577
control,0,9.443880261546708,1,32,1,0,0,0,0,6.464175892141167,3864.448997037917
treatment1,1,25.345906435223057,1,37,0,0,0,1,0,10.288469656852522,4816.670894596398
treatment1,1,19.555025056896817,0,40,1,1,0,0,0,9.92620227467012,5953.8026197073
treatment1,1,27.690053319495586,1,41,0,1,0,1,1,8.141445406972661,5020.51327481107
control,1,8.544013616617034,1,48,0,1,0,1,1,9.83792221601288,6502.916868075289
treatment1,0,18.87825565092895,1,38,0,0,0,1,0,11.460017278666006,4963.864418645046
treatment1,0,22.914389266995418,0,32,2,0,0,0,0,9.367502564981137,4887.958617013561
treatment1,1,22.76808604704943,1,38,3,0,0,0,0,11.962236039900574,5387.863877898687
treatment1,0,23.47577950285147,0,50,2,1,0,1,0,12.421925818711351,5717.173009550653
control,0,1.2816801606236927,1,44,0,0,1,0,0,11.657464356901741,4946.512048791404
treatment1,0,25.512511781950618,0,46,0,1,0,0,0,9.215279939564358,5821.022623401287
treatment1,1,17.623535343069417,1,38,0,0,0,1,0,10.28363140602319,4152.234593596979
control,0,4.419958044201935,0,32,0,1,1,0,0,9.680272443831047,5547.2941182627
treatment1,1,23.47523366571297,0,41,0,1,0,0,0,9.973904690094495,5107.599030629027
control,1,9.988024152250805,0,46,0,1,0,0,0,10.952016531347443,6369.256471986852
control,0,11.617390765780536,1,36,2,0,0,1,0,13.742181325855874,5576.426766480626
treatment1,0,26.309819101608507,0,42,3,0,0,1,0,5.929866247039604,3265.275905874547
treatment1,1,24.368836053277285,1,47,0,0,0,0,1,9.7649212549032,4447.014140755032
treatment1,1,19.08210176152413,0,33,1,0,1,0,1,9.946992335773208,5025.040592543193
control,0,4.68032926804115,0,34,1,1,0,0,0,12.042319588803934,5934.623745520079
treatment1,1,22.55710809512415,0,41,2,0,1,1,0,10.424350977736317,4685.5766884472605
treatment1,0,22.56885192207555,1,42,2,1,0,0,0,9.869929463186391,5632.920789754555
treatment1,1,29.59749895169937,0,44,1,1,0,0,0,5.9759167188822815,4834.064564259704
treatment1,1,21.593452711476054,1,35,2,0,1,0,0,4.597970746790553,2845.3612724830778
treatment1,1,23.63610349566308,1,31,0,0,1,0,0,11.511668667570325,3689.7270339857705
control,0,7.683203947404913,1,44,1,1,0,1,0,11.42712116502625,6801.812930258752
treatment1,1,19.074157741526786,0,51,0,1,0,0,0,8.972492878539617,6538.174810365019
control,0,7.960229467283805,1,52,0,0,1,0,0,8.7935582758146,4657.003950303901
