,treatment,target,uplift
160506,1,0,0.02
88103,0,0,0.0
178087,1,1,-0.12
269032,0,1,0.09999999999999998
85297,1,1,0.99
119689,1,0,0.07
280272,0,0,0.01
361761,1,0,0.0
330218,1,0,0.03999999999999998
82498,0,1,0.10999999999999999
122825,1,1,0.26
203409,0,0,0.01
43733,0,1,-0.20000000000000007
275802,1,0,0.02
325067,0,0,0.03
390584,1,0,-0.03
53986,0,0,0.07
382641,1,0,-0.01
150533,0,1,-0.07999999999999996
373019,1,0,0.0
220793,0,0,0.98
323451,1,0,0.01
190683,0,0,0.0
352098,1,0,0.0
326150,1,1,-0.01999999999999999
275015,1,0,-0.01
330006,1,1,-0.030000000000000027
16589,1,0,0.03
361940,0,0,-0.10999999999999999
87812,1,1,-0.09999999999999998
365888,0,1,0.17000000000000004
375462,0,0,-0.10999999999999999
355151,0,1,0.15000000000000002
199704,0,1,-0.019999999999999907
203496,1,0,0.08
35426,0,0,-0.039999999999999994
161817,1,0,0.01
113621,0,0,0.01
354094,1,1,0.14999999999999997
24804,0,0,0.99
263429,0,0,0.01
297483,1,1,0.16000000000000003
47956,0,0,0.019999999999999997
249364,1,1,0.98
275716,1,0,0.0
218447,0,0,0.0
394362,1,0,0.0
174433,1,0,0.1
356888,0,0,0.9
307662,0,0,-0.01
223071,1,0,0.04
139564,1,0,0.0
354705,1,0,0.0
287157,0,0,0.15
319818,0,1,0.010000000000000009
168539,0,0,0.05
24639,1,1,-0.21000000000000002
4335,1,0,0.42000000000000004
386165,1,1,1.0
60613,1,0,0.0
124533,0,0,0.0
267157,0,0,0.0
333448,0,0,0.02
340012,1,0,0.01
18945,1,0,-0.02
263868,1,0,0.0
54870,1,0,-0.09999999999999998
335317,0,1,0.12
223964,1,0,0.0
345055,0,0,0.0
223446,1,0,0.009999999999999998
267604,0,1,-0.10999999999999999
216094,0,0,0.01
1277,0,1,-0.050000000000000044
328049,0,1,-0.10999999999999999
221641,0,0,0.03
222526,1,0,0.02
29083,1,0,-0.01
274471,0,0,0.32999999999999996
218038,1,0,0.02
221598,1,1,-0.05999999999999994
297600,1,0,0.02
110190,0,1,-0.030000000000000027
174836,1,0,0.05
295093,0,0,0.0
234804,0,1,0.18000000000000005
55647,1,0,0.01
235587,1,0,0.05
89499,1,1,-0.040000000000000036
182703,1,0,-0.01
378962,1,0,0.0
374930,1,0,-0.01
212494,0,0,0.0
5352,0,1,-0.07999999999999996
72414,1,0,-0.020000000000000018
152229,0,0,-0.02
360873,0,0,0.0
210884,0,0,0.03
298847,1,0,-0.17999999999999994
89951,0,0,-0.02
125412,0,0,0.0
303123,1,1,0.019999999999999907
271843,1,0,0.02
196899,1,0,0.0
123175,1,0,0.05
344673,1,0,0.019999999999999997
66051,0,0,0.0
186643,0,0,0.06
187992,0,0,0.0
97708,0,0,0.08
353644,0,0,0.01
320430,0,0,0.0
264968,1,0,0.03
148260,1,0,0.03
187616,0,0,-0.07
226781,0,0,-0.21999999999999997
118176,1,0,0.02
52337,1,0,0.0
241323,0,0,0.22
235238,0,0,0.01
17298,1,0,0.05
22155,0,0,0.0
72117,0,0,0.7100000000000001
366339,1,0,-0.019999999999999997
353939,0,0,0.01
270764,0,0,0.0
20792,1,0,0.07
153214,1,0,-0.15000000000000008
158802,0,0,0.99
203934,0,0,-0.01
393238,1,0,0.01
346694,0,1,0.43000000000000005
107173,0,0,0.13
165662,1,0,-0.02
235337,0,0,0.02
319362,0,0,0.0
329020,1,0,0.03
278906,0,0,0.0
220311,0,0,0.02
240345,0,0,0.02
229738,1,0,-0.02
241839,1,0,0.0
7476,1,1,-0.06999999999999995
266084,1,1,0.43000000000000005
181405,0,0,-0.02
210597,1,1,0.1399999999999999
46122,0,0,0.99
232873,1,1,0.95
346910,1,1,0.96
75919,1,1,0.99
219081,1,1,0.98
266091,1,1,0.97
306638,0,0,-0.01
214336,0,0,0.07
222186,1,0,0.0
392744,0,1,-0.020000000000000018
119985,0,0,-0.02
125790,1,0,0.01
239494,0,0,0.01
171422,0,1,0.0
204197,1,0,-0.019999999999999997
309923,1,1,0.050000000000000044
85835,0,0,-0.01
297904,1,1,0.18999999999999995
369144,0,0,0.01
168651,0,0,0.01
279310,1,0,0.05
578,0,1,-0.08000000000000007
291397,0,1,-0.17000000000000004
365926,0,0,0.0
10891,1,0,-0.03
221992,1,0,0.0
76221,1,0,-0.030000000000000027
242477,0,0,0.01
20746,1,0,0.06
54781,0,0,0.0
243304,0,0,0.99
290877,0,0,0.0
219941,1,0,0.21
252603,1,0,0.02
84071,0,0,0.01
48772,0,0,0.99
68838,1,1,-0.010000000000000009
312886,1,0,0.01
321488,1,0,0.10000000000000003
391323,1,0,0.040000000000000036
127881,0,1,-0.040000000000000036
364092,0,0,0.02
391408,1,0,0.0
253616,1,0,0.38
91763,0,0,0.9199999999999999
203795,1,0,0.05
1768,1,0,0.07
230218,1,0,0.01
14320,0,0,0.04
277729,1,1,1.0
246828,0,0,0.01
232595,0,0,0.0
185105,1,1,0.10000000000000009
39040,1,1,-0.06999999999999995
10413,0,0,0.0
205703,1,0,0.0
28770,1,0,0.01
80936,1,1,0.98
46374,1,0,0.0
365369,0,0,0.0
208491,1,1,0.040000000000000036
191894,0,0,0.49
20485,0,0,-0.009999999999999998
309696,0,0,-0.25000000000000006
120000,0,1,-0.05999999999999994
399431,1,0,0.01
146549,1,1,-0.030000000000000027
252389,1,1,0.95
179636,1,1,0.010000000000000009
88352,0,0,0.0
62975,0,0,-0.01
190073,1,0,0.13
374787,1,0,0.32
198315,0,0,0.58
208951,0,0,0.02
194230,0,1,-0.030000000000000027
338369,1,1,0.03
4068,0,0,-0.03
48949,0,1,0.44
112093,1,1,0.89
373765,1,0,-0.01
4679,0,0,0.01
17403,1,0,-0.02
380125,1,0,-0.010000000000000009
264753,1,0,-0.01
244773,1,1,0.98
247243,0,0,0.88
324279,0,0,0.05
334390,0,1,-0.030000000000000027
169905,1,1,-0.12
194342,0,0,0.02
131860,0,1,0.05999999999999994
30502,0,0,0.02
358763,0,0,0.0
46711,0,1,-0.08999999999999997
94945,0,0,0.019999999999999997
89602,1,0,0.03
230267,1,0,0.01
186455,1,0,0.02
59828,0,0,0.02
80871,1,0,0.21000000000000002
125795,0,0,0.01
60583,0,0,0.0
291395,1,0,-0.01
4183,1,0,0.0
152122,1,0,0.0
318271,1,0,0.01
345657,0,0,-0.16999999999999998
136129,0,0,0.01
174026,0,0,0.0
19877,1,0,0.03
346266,1,0,0.0
256393,1,0,0.0
273547,1,1,0.38
18728,0,1,-0.010000000000000009
130252,0,1,0.09999999999999998
354834,0,0,0.02
381061,0,0,0.03
43962,0,0,0.98
378041,0,0,0.09999999999999999
251686,0,0,-0.01
85656,1,1,0.06000000000000001
154927,1,0,0.0
104019,0,0,0.03
34766,1,1,-0.09999999999999998
237414,0,0,0.0
374315,0,0,0.0
152364,1,0,0.02
250134,0,0,0.01
261703,0,1,0.06999999999999995
87822,1,0,-0.01
82251,1,0,0.04
318961,1,0,0.01
200345,1,1,0.020000000000000018
317686,1,0,0.01
188000,1,1,0.04
375143,0,0,1.0
49745,0,1,0.0
197796,0,0,0.01
75136,0,0,0.11
356154,1,1,-0.08000000000000007
381200,1,0,0.0
128588,0,0,0.11
48900,1,0,-0.02
130632,1,0,0.03
38669,1,0,0.02
259273,0,1,-0.17000000000000004
291304,1,0,0.0
93921,1,1,-0.07999999999999996
168977,0,0,0.0
279437,1,1,-0.010000000000000009
315828,1,1,0.86
158364,1,0,0.02
183142,1,0,-0.01
318989,1,1,0.009999999999999898
135181,0,0,0.0
320825,0,0,0.08
354159,1,0,0.01
6552,0,0,0.05
71272,0,0,0.01
388717,0,1,-0.03999999999999998
194519,1,0,0.01
363144,1,0,0.04
52045,1,0,0.02
291003,1,0,0.06
196673,1,0,0.02
350916,0,0,0.99
144445,1,0,0.0
378958,0,0,-0.040000000000000036
331796,0,0,0.19999999999999996
344139,0,0,0.010000000000000002
228787,0,0,0.23
330487,1,0,0.09999999999999998
117356,1,0,0.06
320914,0,0,0.0
211066,1,1,0.98
397557,1,0,0.08
46151,0,0,-0.01
67168,0,0,0.0
378010,0,0,0.0
12603,0,0,0.0
210172,0,0,0.0
64151,1,0,0.01
242056,1,1,0.1499999999999999
260702,1,0,0.0
291661,0,0,-0.02
276806,1,0,0.01
237499,0,0,0.0
179805,1,0,0.02
273251,1,1,-0.09999999999999998
53888,1,0,0.04000000000000001
325377,1,0,0.0
262221,1,1,-0.10999999999999999
115944,1,0,0.01
310086,0,0,0.03
32236,0,1,-0.020000000000000018
101167,1,0,0.06
75220,1,0,-0.10000000000000003
353603,0,0,0.0
129320,0,0,0.02
129791,0,0,0.0
231833,0,1,0.08999999999999997
93655,1,0,0.03
196881,1,0,0.0
348769,0,0,0.0
376641,1,0,0.0
315312,0,1,-0.03999999999999998
258677,0,0,-0.01
21531,1,0,0.01
103270,0,0,0.15999999999999992
323920,0,1,-0.16000000000000003
87074,1,0,0.06
395896,1,0,0.01
73342,0,0,1.0
189966,0,0,-0.22999999999999998
339688,1,0,-0.009999999999999998
30010,1,1,0.17
319523,1,0,0.01
231202,0,0,0.9
20272,0,1,-0.07999999999999996
368648,1,1,0.83
2502,1,0,0.0
58172,1,1,1.0
14502,1,0,0.0
283811,1,1,0.07000000000000006
287675,0,0,0.05
333766,0,0,0.0
376908,1,0,0.1
125562,1,0,0.01
71888,0,1,-0.010000000000000009
318697,1,0,0.05999999999999994
237979,1,1,0.08999999999999997
125047,0,0,0.020000000000000004
278760,0,1,-0.17000000000000004
330315,0,0,0.97
38113,1,1,0.99
238709,1,1,0.12
295621,1,1,-0.040000000000000036
285419,0,0,1.0
96435,1,0,0.06
365645,1,0,0.020000000000000018
289434,1,1,0.06000000000000005
217162,1,0,0.02
210808,1,0,0.0
122875,1,0,0.01
242014,1,0,0.0
75321,0,0,-0.040000000000000036
349497,1,0,-0.01
32427,0,0,0.01
243260,0,0,0.01
13925,0,1,0.09999999999999998
10245,1,0,0.0
212259,0,0,-0.02
248772,1,0,0.0
277499,1,0,0.03
260468,1,0,0.0
360778,1,0,0.04
35418,0,0,0.07
135980,1,0,0.01
154301,1,0,0.01
136765,1,0,0.0
383554,1,0,0.01
55451,0,0,0.0
180842,1,0,0.06
15202,0,0,-0.01
55809,0,0,0.05
83846,1,0,0.02
307570,1,0,0.02
354486,1,1,0.98
186523,1,1,-0.010000000000000009
376619,1,0,0.06
17321,1,0,0.14
312706,1,0,-0.15000000000000002
157390,1,0,0.01
333516,1,0,0.01
349491,0,0,0.06
272184,1,1,0.07000000000000006
354028,0,0,0.92
152979,1,0,-0.01
80323,1,0,0.0
315650,0,1,-0.04999999999999993
163473,0,0,0.01
291414,1,0,0.16999999999999998
58231,0,0,0.01
306865,1,0,0.0
347960,1,1,-0.009999999999999898
48079,0,0,-0.01
254523,1,1,-0.010000000000000009
17739,1,0,-0.01
235152,0,1,0.019999999999999907
230563,0,0,-0.010000000000000002
119780,1,1,0.98
370932,1,0,0.04
378309,0,0,0.060000000000000005
165449,1,0,0.08999999999999997
281153,1,0,-0.22000000000000003
118396,0,1,0.16999999999999993
226616,0,0,-0.019999999999999997
344600,1,0,0.33999999999999997
10142,0,0,0.06999999999999995
136335,1,0,-0.01
221971,1,0,-0.01
66631,0,1,0.14
205584,0,0,1.0
354704,0,0,0.01
303184,0,0,0.0
215465,0,1,0.0
219920,1,0,0.03
85727,1,1,0.98
103281,0,1,0.030000000000000027
171459,1,0,0.04
77394,1,0,-0.040000000000000036
250118,1,0,0.0
308215,0,0,0.01
368392,0,0,0.0
56207,1,0,-0.01
102667,1,1,1.0
365025,1,0,0.09999999999999999
58482,1,1,0.18000000000000005
148082,0,0,0.04
72039,1,0,0.0
386425,0,0,0.03
37984,1,0,0.05
385557,0,0,1.0
399260,1,0,0.0
92273,0,0,0.0
96488,0,1,0.13999999999999996
39810,0,0,0.0
101269,0,0,0.0
344867,1,0,0.0
119312,1,0,0.0
320874,0,0,0.98
202504,0,0,0.02
249922,0,0,0.0
363147,0,0,0.85
13605,0,0,0.02
154539,0,0,-0.01
371424,1,0,0.02
24876,0,1,-0.07999999999999996
171491,0,0,-0.01
264683,1,1,-0.16000000000000003
286582,0,0,0.02
185656,1,1,0.07999999999999996
167444,1,0,0.0
153333,1,0,-0.18000000000000005
283004,0,0,0.0
357984,0,0,-0.029999999999999916
286751,1,0,0.13
155606,1,0,0.0
130468,1,0,0.03
91677,0,0,0.11
45453,0,0,0.02
32739,0,1,-0.13
131779,1,0,0.03
6670,0,0,0.0
92000,1,0,0.0
348204,0,0,0.0
338004,0,0,-0.01
358391,0,0,0.010000000000000009
88876,1,1,-0.10999999999999999
321577,0,0,0.01
66353,1,0,0.01
172045,0,0,0.01
66092,0,1,-0.04999999999999999
69273,0,1,0.0
208341,0,0,0.01
116446,0,0,0.05
279066,1,1,-0.21999999999999997
333366,0,0,0.13
152589,0,0,0.94
322947,1,1,0.56
258895,1,0,0.0
179969,0,0,0.01
394848,1,0,0.0
246503,0,0,0.0
18790,1,0,0.06
387472,0,0,0.009999999999999998
44027,0,0,0.03
292115,0,0,0.02
395501,1,0,0.0
57963,1,0,0.009999999999999998
146735,1,0,0.03
117709,0,1,0.030000000000000027
340658,1,0,0.02
296147,1,0,0.0
253393,0,0,-0.01
51540,0,0,1.0
223565,0,0,0.02
323936,1,0,0.05999999999999994
100358,1,0,0.01
229758,1,0,-0.10000000000000009
232581,0,0,0.05
40838,1,1,-0.12
293823,1,0,0.0
311851,0,0,-0.14
283658,1,0,0.0
97833,1,0,0.0
389370,0,0,-0.01
380236,1,0,0.0
147326,0,0,0.060000000000000005
374424,1,0,0.03
147195,0,0,-0.02
223350,1,0,0.02
65650,1,0,-0.030000000000000027
223983,0,0,0.0
152471,0,1,0.0
185062,1,0,0.0
200631,0,0,0.05
237872,0,1,0.10999999999999999
312994,1,0,-0.039999999999999925
389070,0,0,0.01
340942,1,1,0.009999999999999995
61000,0,0,0.06
152253,0,0,0.019999999999999997
46042,1,0,0.01
156983,1,0,0.02
288630,1,1,0.94
46597,0,1,-0.18
268624,1,0,0.01
343167,0,0,0.03
99633,0,0,0.0
219487,1,1,0.9299999999999999
117160,0,1,0.010000000000000009
239561,1,1,0.07999999999999996
89967,1,1,-0.030000000000000027
42349,0,1,-0.17000000000000004
157290,0,0,0.0
200008,0,0,-0.02
31933,1,0,0.019999999999999997
147710,1,0,0.0
255883,0,1,0.2400000000000001
288585,0,0,0.01
13330,1,0,0.0
134740,1,0,0.0
219797,0,0,0.99
296960,0,1,-0.019999999999999907
232859,1,0,-0.049999999999999996
12051,1,1,-0.10999999999999999
207150,0,0,-0.01
369635,0,0,0.08
34016,1,0,0.01
382678,1,0,0.01
151106,0,0,0.0
283057,0,1,0.09999999999999998
366038,1,0,0.14
69323,1,0,0.06
207425,0,0,0.14
286482,0,1,-0.07999999999999996
342210,0,1,-0.15000000000000002
166430,1,0,0.06
51791,0,1,-0.030000000000000027
259400,1,1,-0.07999999999999996
153747,1,0,0.01
203499,1,0,0.01
330866,1,0,0.04
183515,0,0,0.01
154988,0,0,0.08
275297,0,0,0.030000000000000002
273741,1,0,0.01
373805,0,0,-0.01
222890,0,0,0.24
283198,1,0,0.0
50024,1,0,0.03
289472,1,1,-0.010000000000000009
262549,0,1,0.09999999999999998
7125,0,1,0.07000000000000006
90309,1,1,0.05999999999999994
261067,0,0,-0.01
210163,0,0,0.06
177862,0,0,0.0
239430,0,0,0.01
87380,1,0,0.05
192670,1,1,0.040000000000000036
248720,1,0,0.0
187801,1,0,0.009999999999999995
251801,1,0,0.04
257479,1,0,0.01
345291,1,0,0.03
162759,1,1,0.08
118465,1,0,0.02
130316,1,0,0.10999999999999999
365015,1,0,0.0
175394,0,0,0.0
282923,1,1,0.08999999999999997
442,1,1,0.91
157302,1,0,0.01
257241,1,0,0.01
323116,1,1,-0.14
350946,0,0,0.0
328851,0,0,0.01
339182,1,1,0.08000000000000007
36064,0,0,-0.01
373844,0,0,0.0
16222,1,0,0.0
206978,0,0,0.04
356290,1,0,0.02
349595,0,0,0.009999999999999998
252311,0,0,0.16999999999999998
310900,1,0,0.0
137829,0,0,0.0
163606,1,0,0.06
203434,0,0,0.03
241463,1,0,0.12
249674,1,0,0.03
92271,1,0,-0.06999999999999995
364339,1,0,-0.03
273034,0,0,0.9199999999999999
136766,1,0,-0.02
98823,0,0,0.01
390586,0,0,0.01
257937,1,0,-0.01
37510,0,0,0.0
19058,0,0,-0.01
812,1,1,0.98
249916,0,0,0.0
217598,0,0,0.2
146226,1,0,0.01
346492,0,0,0.0
226605,0,0,0.01
18109,1,0,-0.01
103223,0,1,0.040000000000000036
267367,0,1,-0.050000000000000044
229032,0,1,-0.019999999999999907
343210,1,0,0.0
138873,0,0,0.0
303901,0,0,0.03
40598,0,0,0.0
320265,0,0,0.0
1645,0,0,0.02
304095,1,0,-0.01
218393,1,1,0.06999999999999995
193248,1,1,-0.050000000000000044
17443,1,0,0.0
331936,1,0,0.01
157240,0,1,0.04999999999999993
365093,1,0,0.0
374745,0,0,0.0
156889,0,0,0.03
38162,1,0,-0.01
157113,1,1,0.02
28580,1,0,0.020000000000000004
32059,0,0,0.0
334626,1,1,0.89
216423,1,0,0.0
366344,0,0,0.01
229898,0,0,0.09000000000000001
390463,1,1,0.030000000000000027
178721,0,0,0.0
240204,0,0,0.04
152226,1,1,-0.010000000000000009
297497,0,1,0.010000000000000009
96980,0,0,0.0
57039,1,1,-0.010000000000000009
237891,1,1,-0.050000000000000044
149625,0,0,0.86
203785,0,0,0.0
249636,1,0,0.01
196980,1,1,0.99
331896,0,1,0.17000000000000004
103888,0,0,-0.010000000000000002
243945,1,0,0.0
393379,0,0,-0.02
221593,1,1,0.04999999999999993
347190,1,0,0.01
114839,1,1,-0.06000000000000005
152321,0,0,0.01
391056,0,0,0.01
104876,0,1,0.039999999999999925
229874,1,1,0.33
202686,0,1,0.050000000000000044
365527,1,0,-0.07999999999999999
395609,1,0,-0.04
362901,1,0,0.05
241276,0,0,-0.16000000000000003
22739,0,0,0.9299999999999999
306360,0,0,0.34
228924,1,1,0.14
126025,1,0,0.0
13373,0,0,0.57
63998,1,0,0.01
103351,1,0,0.030000000000000002
143971,0,0,0.0
44823,0,1,-0.10999999999999999
99678,1,0,-0.21
123814,0,1,-0.020000000000000018
82527,0,0,0.0
136245,0,0,0.44
29062,1,0,0.02
173680,1,0,-0.01
69312,1,1,0.020000000000000018
16460,0,1,0.06000000000000005
349852,1,0,0.03
55539,0,0,0.01
394538,1,0,0.01
256895,1,1,1.0
164461,1,0,0.04
222493,0,0,-0.08
265739,1,0,0.04000000000000001
312767,0,0,0.0
116234,0,0,0.019999999999999997
381901,0,0,0.0
290474,1,0,0.01
178351,1,1,0.99
101249,1,0,0.01
326805,1,0,-0.01
53777,0,0,-0.01
81577,0,0,0.01
276931,0,1,0.020000000000000018
399387,1,0,0.01
252278,1,0,-0.04
291450,0,1,0.09999999999999998
135351,1,1,0.99
34436,1,0,0.0
236875,0,0,0.01
202040,0,0,0.03
252628,1,1,0.08000000000000007
143621,1,0,0.02
261815,0,0,0.009999999999999998
113965,1,0,0.0
184223,0,1,0.2
232022,0,0,-0.01
328527,1,1,0.020000000000000018
147896,1,1,0.22999999999999998
246369,1,0,0.039999999999999994
211665,1,0,0.0
118202,1,0,-0.13
51190,1,0,0.02
142987,0,1,-0.020000000000000018
350322,1,1,0.98
19083,0,0,0.01
138637,0,0,0.02
294118,1,1,0.01
101084,0,0,0.05
331732,0,1,0.27
337038,1,0,-0.01
215339,1,0,0.0
312542,1,1,-0.010000000000000009
196101,1,0,-0.010000000000000002
5799,0,0,0.0
48472,0,0,0.01
95179,0,0,0.04000000000000001
130806,1,1,0.15999999999999992
49524,1,0,0.0
260253,0,0,0.99
60100,0,0,-0.01
287518,0,0,-0.01
20696,1,0,0.09
126992,1,0,0.0
357059,0,0,0.01
129105,0,1,0.13
125722,1,0,0.0
181222,0,1,-0.009999999999999898
239597,0,1,0.010000000000000009
366893,1,0,0.12000000000000001
204504,1,1,0.99
368806,0,0,-0.19
116899,1,1,0.24
14021,1,0,0.06
84901,1,0,0.03
2670,0,0,0.99
168224,0,0,0.01
217055,1,0,0.05
156653,1,0,0.01
55975,1,1,0.09999999999999998
224363,1,0,0.01
5097,1,0,-0.01
80095,1,0,0.05
36339,0,0,-0.01
133298,0,1,-0.14
372400,0,0,0.0
58767,0,1,0.09999999999999998
98284,0,0,0.02
2880,0,0,0.04
120112,1,0,0.01
313400,0,0,0.06
394324,1,0,0.02
98865,0,1,0.13
122566,1,0,-0.02
59762,1,0,-0.02
303165,0,0,0.019999999999999997
359953,0,0,0.01
240267,0,1,0.12
164665,0,0,0.02
260555,0,0,-0.01
366836,1,0,0.0
64414,0,1,0.09999999999999998
228421,1,0,0.019999999999999997
209596,1,1,-0.010000000000000009
128911,1,0,0.01
248265,1,0,0.02
86201,1,0,0.0
52908,0,1,0.09000000000000008
331170,1,0,0.0
163526,1,1,0.99
46738,0,0,0.01
340120,1,0,0.0
264563,1,0,0.01
395865,1,0,0.09
336069,1,0,0.0
373790,1,0,-0.01
280461,0,0,-0.01
110111,0,0,0.01
266848,0,0,0.01
209256,1,0,-0.020000000000000018
234603,1,0,0.030000000000000027
221929,1,1,-0.15999999999999998
160633,1,1,0.98
89442,0,0,0.15
310053,1,0,-0.09999999999999998
330669,0,0,0.04999999999999993
132159,0,0,0.01
83882,0,0,0.02
83917,1,0,-0.02
30685,0,1,-0.010000000000000009
34250,0,0,-0.02
164715,0,1,0.19000000000000006
377072,1,1,0.83
165385,0,0,0.0
85080,0,0,0.05
373453,1,0,0.03
349574,0,0,0.01
117906,0,0,-0.03
357781,1,1,0.020000000000000018
322864,1,1,0.23
311597,1,0,-0.01
326976,1,0,0.05
250851,0,0,0.01
298552,0,1,0.10999999999999999
360924,1,0,-0.019999999999999997
290766,1,0,0.01
275797,0,0,-0.01
6226,0,0,0.03
186124,0,0,-0.19
220365,1,1,0.24
268146,0,0,0.08
36071,1,0,0.01
15827,1,1,0.050000000000000044
321700,1,0,0.0
77395,0,0,0.05
60858,1,0,0.02
337384,1,1,-0.010000000000000009
170132,0,0,0.01
206406,0,0,0.0
251651,1,0,0.0
112348,0,0,0.1499999999999999
195641,1,0,0.01
309117,1,0,0.06
150535,1,1,-0.01
272688,1,1,0.98
18599,0,1,-0.07000000000000006
146617,0,0,0.010000000000000002
294023,0,0,0.04
73747,0,0,0.08
360160,1,0,0.06
33380,0,0,0.02
255668,1,1,-0.04999999999999993
175066,0,1,0.20999999999999996
167240,1,1,0.98
362689,1,1,0.030000000000000027
345214,1,0,0.0
273927,0,0,0.03
301232,1,0,-0.18999999999999995
104100,0,1,-0.06999999999999995
100554,1,0,-0.02
107360,1,0,-0.06000000000000005
61221,0,0,0.08
289132,1,1,0.99
169138,0,1,0.0
181254,1,1,-0.16999999999999993
15746,1,0,0.01
298298,0,0,0.0
31177,1,0,-0.019999999999999997
307688,1,0,-0.01
356991,1,0,0.01
264170,0,0,0.17000000000000004
211678,1,0,0.01
209264,1,1,0.97
293613,1,1,0.04999999999999993
188523,1,1,0.0
172758,0,0,0.0
69401,0,0,0.0
104432,1,1,0.19999999999999996
148559,0,0,0.0
169487,0,1,0.05
303426,0,0,0.0
31761,0,0,0.01
323210,0,0,0.05
108551,0,0,-0.01
242762,1,0,0.02
256985,0,0,-0.01
58751,0,0,0.01
121632,0,0,0.02
175468,0,0,0.009999999999999998
201042,0,0,0.0
302889,0,1,-0.10999999999999999
122228,1,0,0.21
180154,0,0,0.0
110630,1,0,0.0
378602,1,0,0.02
335409,1,0,-0.030000000000000027
135374,0,0,-0.01
252304,1,1,0.96
151696,0,0,0.75
266905,0,0,0.01
195432,0,0,1.0
3940,0,0,0.99
133965,0,0,0.06
390613,1,0,-0.01
48023,1,1,0.09999999999999998
97267,1,0,0.03
